English,日本語
date,接種日
prefecture,都道府県コード
gender,性別区分
M,男性
F,女性
U,不明
age,年代区分
-64,64歳以下
65-,65歳以上
UNK,不明
medical_worker,医療従事者フラグ
true,医療従事者
false,一般接種者
status,接種ステータス区分
count,接種回数
count_first_or_mid_general,1回目接種または接種中
count_second_or_full_general,2回目接種または接種完了
prefecture_code,都道府県コード
prefecture_name,都道府県名
Date,年月日
Prefecture,都道府県名
Deaths(Cumulative),死亡者数
Severe cases,重症者数
Newly confirmed cases,新規感染者数
Requiring inpatient care,入院治療の必要な人
Discharged from hospital or released from treatment,退院した人
To be confirmed,確認中の人
ALL,全国
Hokkaido,北海道
Aomori,青森
Iwate,岩手
Miyagi,宮城
Akita,秋田
Yamagata,山形
Fukushima,福島
Ibaraki,茨木
Tochigi,栃木
Gunma,群馬
Saitama,埼玉
Chiba,千葉
Tokyo,東京
Kanagawa,神奈川
Niigata,新潟
Toyama,富山
Ishikawa,石川
Fukui,福井
Yamanashi,山梨
Nagano,長野
Gifu,岐阜
Shizuoka,静岡
Aichi,愛知
Mie,三重
Shiga,滋賀
Kyoto,京都
Osaka,大阪
Hyogo,兵庫
Nara,奈良
Wakayama,和歌山
Tottori,鳥取
Shimane,島根
Okayama,岡山
Hiroshima,広島
Yamaguchi,山口
Tokushima,徳島
Kagawa,香川
Ehime,愛媛
Kochi,高知
Fukuoka,福岡
Saga,佐賀
Nagasaki,長崎
Kumamoto,熊本
Oita,大分
Miyazaki,宮崎
Kagoshima,鹿児島
Okinawa,沖縄
