略符,星座名
And,アンドロメダ
Ant,ポンプ
Aps,ふうちょう
Aql,わし
Aqr,みずがめ
Ara,さいだん
Ari,おひつじ
Aur,ぎょうしゃ
Boo,うしかい
Cae,ちょうこくぐ
Cam,きりん
Cap,やぎ
Car,りゅうこつ
Cas,カシオペヤ
Cen,ケンタウルス
Cep,ケフェウス
Cet,くじら
Cha,カメレオン
Cir,コンパス
CMa,おおいぬ
CMi,こいぬ
Cnc,かに
Col,はと
Com,かみのけ
CrA,みなみりかんむり
CrB,かんむり
Crt,コップ
Cru,みなみじゅうじ
Crv,からす
CVn,りょうけん
Cyg,はくちょう
Del,いるか
Dor,かじき
Dra,りゅう
Equ,こうま
Eri,エリダヌス
For,ろ
Gem,ふたご
Gru,つる
Her,ヘルクレス
Hor,とけい
Hya,うみへび
Hyi,みずへび
Ind,インディアン
Lac,とかげ
Leo,しし
Lep,うさぎ
Lib,てんびん
LMi,こじし
Lup,おおかみ
Lyn,やまねこ
Lyr,こと
Men,テーブルさん
Mic,けんびきょう
Mon,いっかくじゅう
Mus,はえ
Nor,じょうぎ
Oct,はちぶんぎ
Oph,へびつかい
Ori,オリオン
Pav,くじやく
Peg,ペガスス
Per,ペルセウス
Phe,ほうおう
Pic,がか
PsA,みなみのうお
Psc,うお
Pup,とも
Pyx,とらしんばん
ret,レチクル
Scl,ちょうこくしつ
Sco,さそり
Sct,たて
Ser,へび
Sex,ろくぶんぎ
Sge,や
Sgr,いて
Tau,おうし
Tel,ぼうえんきょう
TrA,みなみのさんかく
Tri,さんかく
Tuc,きょしちょう
UMa,おおぐま
UMi,こぐま
Vel,ほ
Vir,おとめ
Vol,とびうお
Vul,こぎつね
