都道府県,人口密度（人/km2）
北海道,66.47
青森県,127.57
岩手県,79.36
宮城県,314.83
秋田県,81.81
山形県,114.23
福島県,132.77
茨城県,468.09
栃木県,301.51
群馬県,302.78
埼玉県,"1,933.63"
千葉県,"1,217.90"
東京都,"6,367.78"
神奈川県,"3,813.63"
新潟県,174.81
富山県,243.59
石川県,269.97
福井県,182
山梨県,180.55
長野県,149.99
岐阜県,185.87
静岡県,465.32
愛知県,"1,457.77"
三重県,306.11
滋賀県,351.58
京都府,556.88
大阪府,"4,627.76"
兵庫県,647.41
奈良県,358.44
和歌山県,193.47
鳥取県,157.22
島根県,99.43
岡山県,264.59
広島県,329.6
山口県,219.47
徳島県,173.94
香川県,505.55
愛媛県,233.69
高知県,97.1
福岡県,"1,024.12"
佐賀県,331.39
長崎県,317.28
熊本県,234.28
大分県,177.42
宮崎県,137.52
鹿児島県,172.78
沖縄県,639.12
全国,337.24
